Id,Date,TotalMinutesAsleep
1503960366,4/12/2016,327
1503960366,4/13/2016,384
1503960366,4/15/2016,412
1503960366,4/16/2016,340
1503960366,4/17/2016,700
1503960366,4/19/2016,304
1503960366,4/20/2016,360
1503960366,4/21/2016,325
1503960366,4/23/2016,361
1503960366,4/24/2016,430
1503960366,4/25/2016,277
1503960366,4/26/2016,245
1503960366,4/28/2016,366
1503960366,4/29/2016,341
1503960366,4/30/2016,404
1503960366,5/1/2016,369
1503960366,5/2/2016,277
1503960366,5/3/2016,273
1503960366,5/5/2016,247
1503960366,5/6/2016,334
1503960366,5/7/2016,331
1503960366,5/8/2016,594
1503960366,5/9/2016,338
1503960366,5/10/2016,383
1503960366,5/11/2016,285
1644430081,4/29/2016,119
1644430081,4/30/2016,124
1644430081,5/2/2016,796
1644430081,5/8/2016,137
1844505072,4/15/2016,644
1844505072,4/30/2016,722
1844505072,5/1/2016,590
1927972279,4/12/2016,750
1927972279,4/13/2016,398
1927972279,4/15/2016,475
1927972279,4/26/2016,296
1927972279,4/28/2016,166
2026352035,4/12/2016,503
2026352035,4/13/2016,531
2026352035,4/14/2016,545
2026352035,4/15/2016,523
2026352035,4/16/2016,524
2026352035,4/17/2016,437
2026352035,4/19/2016,498
2026352035,4/20/2016,461
2026352035,4/21/2016,477
2026352035,4/22/2016,520
2026352035,4/23/2016,522
2026352035,4/24/2016,555
2026352035,4/25/2016,506
2026352035,4/27/2016,508
2026352035,4/28/2016,513
2026352035,4/29/2016,490
2026352035,4/30/2016,573
2026352035,5/1/2016,527
2026352035,5/2/2016,511
2026352035,5/4/2016,538
2026352035,5/5/2016,468
2026352035,5/6/2016,524
2026352035,5/7/2016,511
2026352035,5/8/2016,541
2026352035,5/9/2016,531
2026352035,5/10/2016,357
2026352035,5/11/2016,523
2026352035,5/12/2016,456
2320127002,4/23/2016,61
2347167796,4/13/2016,467
2347167796,4/14/2016,445
2347167796,4/15/2016,452
2347167796,4/17/2016,556
2347167796,4/18/2016,500
2347167796,4/19/2016,465
2347167796,4/21/2016,460
2347167796,4/22/2016,405
2347167796,4/23/2016,374
2347167796,4/24/2016,442
2347167796,4/25/2016,433
2347167796,4/26/2016,436
2347167796,4/27/2016,448
2347167796,4/28/2016,408
2347167796,4/29/2016,411
3977333714,4/12/2016,274
3977333714,4/13/2016,295
3977333714,4/14/2016,291
3977333714,4/15/2016,424
3977333714,4/16/2016,283
3977333714,4/17/2016,381
3977333714,4/18/2016,412
3977333714,4/19/2016,219
3977333714,4/20/2016,152
3977333714,4/21/2016,332
3977333714,4/22/2016,355
3977333714,4/23/2016,235
3977333714,4/24/2016,310
3977333714,4/25/2016,262
3977333714,4/26/2016,250
3977333714,4/27/2016,349
3977333714,4/28/2016,261
3977333714,4/29/2016,333
3977333714,4/30/2016,237
3977333714,5/1/2016,383
3977333714,5/2/2016,230
3977333714,5/3/2016,292
3977333714,5/4/2016,213
3977333714,5/5/2016,318
3977333714,5/6/2016,323
3977333714,5/7/2016,237
3977333714,5/8/2016,259
3977333714,5/10/2016,312
4020332650,4/12/2016,501
4020332650,4/16/2016,77
4020332650,5/3/2016,322
4020332650,5/4/2016,478
4020332650,5/5/2016,226
4020332650,5/6/2016,385
4020332650,5/8/2016,364
4020332650,5/10/2016,442
4319703577,4/14/2016,535
4319703577,4/15/2016,465
4319703577,4/16/2016,506
4319703577,4/18/2016,515
4319703577,4/19/2016,461
4319703577,4/20/2016,523
4319703577,4/21/2016,59
4319703577,4/22/2016,533
4319703577,4/23/2016,692
4319703577,4/24/2016,467
4319703577,4/25/2016,488
4319703577,4/26/2016,505
4319703577,4/27/2016,286
4319703577,4/28/2016,497
4319703577,4/29/2016,523
4319703577,4/30/2016,490
4319703577,5/1/2016,484
4319703577,5/2/2016,478
4319703577,5/3/2016,474
4319703577,5/6/2016,450
4319703577,5/7/2016,507
4319703577,5/8/2016,602
4319703577,5/9/2016,535
4319703577,5/10/2016,487
4319703577,5/11/2016,529
4319703577,5/12/2016,302
4388161847,4/15/2016,499
4388161847,4/16/2016,426
4388161847,4/17/2016,619
4388161847,4/18/2016,99
4388161847,4/19/2016,329
4388161847,4/20/2016,421
4388161847,4/21/2016,442
4388161847,4/22/2016,82
4388161847,4/23/2016,478
4388161847,4/24/2016,552
4388161847,4/26/2016,319
4388161847,4/27/2016,439
4388161847,4/28/2016,428
4388161847,4/30/2016,409
4388161847,5/1/2016,547
4388161847,5/2/2016,368
4388161847,5/4/2016,390
4388161847,5/5/2016,471
4388161847,5/5/2016,471
4388161847,5/7/2016,472
4388161847,5/8/2016,529
4388161847,5/9/2016,62
4388161847,5/10/2016,354
4388161847,5/11/2016,469
4445114986,4/12/2016,429
4445114986,4/13/2016,370
4445114986,4/14/2016,441
4445114986,4/15/2016,337
4445114986,4/16/2016,462
4445114986,4/17/2016,98
4445114986,4/19/2016,388
4445114986,4/20/2016,439
4445114986,4/21/2016,436
4445114986,4/22/2016,388
4445114986,4/25/2016,328
4445114986,4/26/2016,353
4445114986,4/27/2016,332
4445114986,4/28/2016,419
4445114986,4/29/2016,106
4445114986,4/30/2016,322
4445114986,5/1/2016,439
4445114986,5/2/2016,502
4445114986,5/3/2016,417
4445114986,5/4/2016,337
4445114986,5/5/2016,462
4445114986,5/6/2016,374
4445114986,5/7/2016,401
4445114986,5/8/2016,361
4445114986,5/9/2016,457
4445114986,5/10/2016,405
4445114986,5/11/2016,499
4445114986,5/12/2016,483
4558609924,4/21/2016,126
4558609924,4/26/2016,103
4558609924,4/29/2016,171
4558609924,5/1/2016,115
4558609924,5/8/2016,123
4702921684,4/12/2016,425
4702921684,4/13/2016,400
4702921684,4/14/2016,384
4702921684,4/15/2016,253
4702921684,4/16/2016,382
4702921684,4/17/2016,591
4702921684,4/18/2016,293
4702921684,4/19/2016,457
4702921684,4/20/2016,454
4702921684,4/21/2016,425
4702921684,4/23/2016,465
4702921684,4/24/2016,480
4702921684,4/25/2016,370
4702921684,4/26/2016,421
4702921684,4/27/2016,432
4702921684,4/28/2016,442
4702921684,4/29/2016,433
4702921684,4/30/2016,479
4702921684,5/3/2016,327
4702921684,5/4/2016,412
4702921684,5/5/2016,414
4702921684,5/6/2016,404
4702921684,5/7/2016,520
4702921684,5/7/2016,520
4702921684,5/9/2016,435
4702921684,5/10/2016,416
4702921684,5/11/2016,354
4702921684,5/12/2016,404
5553957443,4/12/2016,441
5553957443,4/13/2016,455
5553957443,4/14/2016,357
5553957443,4/15/2016,377
5553957443,4/16/2016,651
5553957443,4/17/2016,350
5553957443,4/18/2016,520
5553957443,4/19/2016,357
5553957443,4/20/2016,658
5553957443,4/21/2016,399
5553957443,4/22/2016,322
5553957443,4/23/2016,631
5553957443,4/24/2016,553
5553957443,4/25/2016,433
5553957443,4/26/2016,412
5553957443,4/27/2016,347
5553957443,4/28/2016,421
5553957443,4/29/2016,450
5553957443,4/30/2016,775
5553957443,5/1/2016,622
5553957443,5/2/2016,409
5553957443,5/3/2016,380
5553957443,5/4/2016,447
5553957443,5/5/2016,419
5553957443,5/6/2016,400
5553957443,5/7/2016,442
5553957443,5/8/2016,568
5553957443,5/9/2016,453
5553957443,5/10/2016,418
5553957443,5/11/2016,463
5553957443,5/12/2016,438
5577150313,4/12/2016,419
5577150313,4/13/2016,432
5577150313,4/14/2016,477
5577150313,4/15/2016,392
5577150313,4/16/2016,406
5577150313,4/17/2016,549
5577150313,4/18/2016,527
5577150313,4/19/2016,449
5577150313,4/20/2016,447
5577150313,4/21/2016,414
5577150313,4/22/2016,338
5577150313,4/23/2016,384
5577150313,4/24/2016,543
5577150313,4/25/2016,421
5577150313,4/26/2016,354
5577150313,4/27/2016,424
5577150313,4/28/2016,361
5577150313,4/29/2016,459
5577150313,4/30/2016,412
5577150313,5/1/2016,379
5577150313,5/2/2016,525
5577150313,5/3/2016,508
5577150313,5/4/2016,603
5577150313,5/5/2016,74
5577150313,5/10/2016,504
5577150313,5/11/2016,431
6117666160,4/16/2016,380
6117666160,4/17/2016,336
6117666160,4/18/2016,493
6117666160,4/19/2016,465
6117666160,4/20/2016,474
6117666160,4/21/2016,508
6117666160,4/22/2016,480
6117666160,4/23/2016,492
6117666160,4/24/2016,353
6117666160,4/27/2016,542
6117666160,4/28/2016,393
6117666160,4/29/2016,600
6117666160,5/1/2016,507
6117666160,5/5/2016,392
6117666160,5/6/2016,658
6117666160,5/7/2016,498
6117666160,5/8/2016,555
6117666160,5/9/2016,492
6775888955,4/13/2016,235
6775888955,4/14/2016,423
6775888955,4/15/2016,391
6962181067,4/12/2016,366
6962181067,4/13/2016,630
6962181067,4/14/2016,508
6962181067,4/15/2016,370
6962181067,4/16/2016,357
6962181067,4/17/2016,427
6962181067,4/18/2016,442
6962181067,4/19/2016,476
6962181067,4/20/2016,418
6962181067,4/21/2016,451
6962181067,4/22/2016,425
6962181067,4/23/2016,528
6962181067,4/24/2016,511
6962181067,4/25/2016,400
6962181067,4/26/2016,441
6962181067,4/27/2016,455
6962181067,4/28/2016,440
6962181067,4/29/2016,433
6962181067,4/30/2016,422
6962181067,5/1/2016,411
6962181067,5/2/2016,466
6962181067,5/3/2016,394
6962181067,5/4/2016,442
6962181067,5/5/2016,467
6962181067,5/6/2016,443
6962181067,5/7/2016,298
6962181067,5/8/2016,541
6962181067,5/9/2016,489
6962181067,5/10/2016,469
6962181067,5/11/2016,452
6962181067,5/12/2016,516
7007744171,4/16/2016,79
7007744171,5/1/2016,58
7086361926,4/12/2016,514
7086361926,4/13/2016,451
7086361926,4/14/2016,472
7086361926,4/15/2016,377
7086361926,4/19/2016,472
7086361926,4/20/2016,492
7086361926,4/21/2016,390
7086361926,4/22/2016,428
7086361926,4/24/2016,681
7086361926,4/25/2016,446
7086361926,4/26/2016,485
7086361926,4/27/2016,469
7086361926,4/28/2016,354
7086361926,4/30/2016,485
7086361926,5/1/2016,388
7086361926,5/2/2016,440
7086361926,5/3/2016,456
7086361926,5/4/2016,420
7086361926,5/6/2016,322
7086361926,5/7/2016,530
7086361926,5/8/2016,481
7086361926,5/9/2016,427
7086361926,5/11/2016,451
7086361926,5/12/2016,444
8053475328,4/20/2016,486
8053475328,4/23/2016,331
8053475328,5/7/2016,74
8378563200,4/12/2016,338
8378563200,4/13/2016,447
8378563200,4/14/2016,424
8378563200,4/15/2016,513
8378563200,4/16/2016,611
8378563200,4/17/2016,525
8378563200,4/18/2016,398
8378563200,4/19/2016,387
8378563200,4/20/2016,381
8378563200,4/21/2016,396
8378563200,4/22/2016,441
8378563200,4/23/2016,565
8378563200,4/24/2016,458
8378563200,4/25/2016,388
8378563200,4/25/2016,388
8378563200,4/26/2016,550
8378563200,4/27/2016,531
8378563200,4/28/2016,506
8378563200,4/29/2016,527
8378563200,4/30/2016,468
8378563200,5/1/2016,475
8378563200,5/2/2016,351
8378563200,5/3/2016,405
8378563200,5/4/2016,441
8378563200,5/5/2016,381
8378563200,5/6/2016,323
8378563200,5/7/2016,459
8378563200,5/8/2016,545
8378563200,5/9/2016,359
8378563200,5/10/2016,342
8378563200,5/11/2016,368
8378563200,5/12/2016,496
8792009665,4/12/2016,458
8792009665,4/13/2016,531
8792009665,4/14/2016,486
8792009665,4/15/2016,363
8792009665,4/20/2016,528
8792009665,4/22/2016,391
8792009665,4/23/2016,339
8792009665,4/27/2016,423
8792009665,4/28/2016,402
8792009665,4/29/2016,398
8792009665,4/30/2016,343
8792009665,5/1/2016,503
8792009665,5/2/2016,415
8792009665,5/3/2016,516
8792009665,5/4/2016,439
